customer_id,gender,seniorcitizen,partner,dependents,tenure,phoneservice,multiplelines,internetservice,onlinesecurity,onlinebackup,deviceprotection,techsupport,streamingtv,streamingmovies,contract,paperlessbilling,paymentmethod,monthlycharges,totalcharges,churn,churn_flag,is_senior_citizen,tenure_cohort,total_calls,total_voice_minutes,total_data_mb,total_sms,dropped_calls,avg_call_duration_sec,last_activity_date,engagement_score,estimated_clv_usd
7590-VHVEG,Female,0,Yes,No,1,No,No phone service,DSL,No,Yes,No,No,No,No,Month-to-month,Yes,Electronic check,29.85,29.85,No,0,0,0-6mo,11.0,11.93,448.78200000000004,1.0,2.0,619.9090909090909,2026-05-01 20:58:25.825973,76.6,29.85
5575-GNVDE,Male,0,No,No,34,Yes,No,DSL,Yes,No,Yes,No,No,No,One year,No,Mailed check,56.95,1889.5,No,0,0,2-4yr,7.0,20.88,28.42,0.0,0.0,604.2857142857143,2026-05-21 13:11:07.825973,36.47,1936.3
3668-QPYBK,Male,0,No,No,2,Yes,No,DSL,Yes,Yes,No,No,No,No,Month-to-month,Yes,Mailed check,53.85,108.15,Yes,1,0,0-6mo,9.0,16.38,76.502,2.0,1.0,268.44444444444446,2026-05-25 07:50:34.825973,45.11,107.7
7795-CFOCW,Male,0,No,No,45,No,No phone service,DSL,Yes,No,Yes,Yes,No,No,One year,No,Bank transfer (automatic),42.3,1840.75,No,0,0,2-4yr,9.0,12.8,225.295,3.0,0.0,226.88888888888889,2026-05-23 14:29:38.825973,74.53,1903.5
9237-HQITU,Female,0,No,No,2,Yes,No,Fiber optic,No,No,No,No,No,No,Month-to-month,Yes,Electronic check,70.7,151.65,Yes,1,0,0-6mo,8.0,6.98,33.688,3.0,1.0,125.625,2026-05-18 09:43:52.825973,33.95,141.4
9305-CDSKC,Female,0,No,No,8,Yes,Yes,Fiber optic,No,No,Yes,No,Yes,Yes,Month-to-month,Yes,Electronic check,99.65,820.5,Yes,1,0,6-12mo,8.0,14.6,168.368,2.0,0.0,311.75,2026-05-22 20:12:33.825973,56.36,797.2
1452-KIOVK,Male,0,No,Yes,22,Yes,Yes,Fiber optic,No,Yes,No,No,Yes,No,Month-to-month,Yes,Credit card (automatic),89.1,1949.4,No,0,0,1-2yr,4.0,0.27,101.915,1.0,0.0,147.25,2026-05-01 13:34:05.825973,29.79,1960.2
6713-OKOMC,Female,0,No,No,10,No,No phone service,DSL,Yes,No,No,No,No,No,Month-to-month,No,Mailed check,29.75,301.9,No,0,0,6-12mo,5.0,0.73,243.641,1.0,0.0,382.6,2026-05-01 13:22:41.825973,46.64,297.5
7892-POOKP,Female,0,Yes,No,28,Yes,Yes,Fiber optic,No,No,Yes,Yes,Yes,Yes,Month-to-month,Yes,Electronic check,104.8,3046.05,Yes,1,0,2-4yr,9.0,3.45,269.51,0.0,0.0,610.6666666666666,2026-05-17 23:08:32.825973,74.33,2934.4
6388-TABGU,Male,0,No,Yes,62,Yes,No,DSL,Yes,Yes,No,No,No,No,One year,No,Bank transfer (automatic),56.15,3487.95,No,0,0,4yr+,7.0,25.12,104.947,1.0,0.0,442.0,2026-04-08 00:58:09.825973,53.67,3481.3
9763-GRSKD,Male,0,Yes,Yes,13,Yes,No,DSL,Yes,No,No,No,No,No,Month-to-month,Yes,Mailed check,49.95,587.45,No,0,0,1-2yr,9.0,10.08,322.73,1.0,1.0,243.22222222222223,2026-05-25 22:38:14.825973,73.38,649.35
7469-LKBCI,Male,0,No,No,16,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,No,Credit card (automatic),18.95,326.8,No,0,0,1-2yr,5.0,2.73,83.608,0.0,0.0,201.8,2026-05-22 18:04:25.825973,29.7,303.2
